用户,是否看过,五星评分,评论时间,有用数,评论内容
橘貓,看过,推荐,2018-04-25 12:56:15,69,《復仇者聯盟3：無限之戰》最大的劣勢，是它始終是一部故事電影，電影需要有重心，儘管時間分配已經接近完美，但對那位「主角」來說，篇幅永遠不夠，重心依然顯得搖搖欲墜；而最大的優勢，則是它像你最愛的流行音樂歌手，終於出了承諾歌迷的十年音樂生涯精選輯。無論如何，你就是沒法不喜歡這張專輯。
用户,是否看过,五星评分,评论时间,有用数,评论内容
三月天的憨人,看过,力荐,2018-04-26 01:07:06,78,星爵你是猪吗，气死我了
大时代²歌姬,看过,推荐,2018-05-12 02:07:19,37,"“宇宙有限，资源有限，人口爆炸会导致资源枯竭生态恶化。我要控制人口，打下来，流下来，就是不能生下来。” 
灭霸就像一个《三体》书迷➕计生办主任的复合体。"
饮歌,看过,推荐,2018-04-27 11:24:11,65,原本以为自己不会再为漫威的大坑血脉喷张，可在这部作品面前还是认输了。导演太会调动观众情绪了，虽然太多梗可以说连老牙都掉光了，但每一位主角从亮相到征战，都一次次让我感到燃，感到精彩。在一个超级英雄被过度消费的今天，依然能有这样的观感，也许是对我们这十几年漫威情结最好的交代。
王大盆,看过,推荐,2018-05-12 17:58:15,51,我明天就飞美国和星爵办理离婚手续
godzilla,看过,力荐,2018-05-01 23:49:54,86,刚从电影院回来，叹为观止。节奏很快，场面恢宏，场景包括了宇宙中的很多国家。这部电影在我心目中的地位就如同上个世纪的star wars. 可惜豆瓣只有5星可以表达我的喜爱与对导演编剧的智慧的尊敬。漫威到底可以给我们展现多少惊喜，智慧与想象力，下一部见，英雄们💪💪💪
欢乐分裂,看过,还行,2018-05-11 13:08:17,30,大部分时间依旧是冗长无味的粗暴打斗，光环加身的超英们即使被虐千百遍，依然能续写神话，不过以虚无对抗虚无的结尾多少提升了立意，也暗示并非绝对二元对立的初衷；较前作有进步，各线铺排匀当，众多角色的存在也不再只是露脸，各自承受命运考验，在群戏中各有功能担当。
贡丸猩猩,看过,还行,2018-05-08 19:47:40,65,《复仇者联盟3：我爱的男人都死了》
安德烈大叔,看过,还行,2018-05-12 14:00:07,49,昏昏欲睡的前半场，后半场则仿佛嗅到了钦定的感觉，下一部大概率叫《复活者联盟》。
艾晨,看过,推荐,2018-05-12 08:21:34,36,75分。没有肆意狂轰滥炸，印象最深的台词是“你不会知道我今天经历了什么。可是我们没有时间悲伤。”《灭霸：丢了你，赢了全复联又如何》，《灭霸：没了你，毁了全世界又何妨》。然而神秘博士已经看透了一切，并剧透了下一集唯一战胜灭霸的可能就是史塔克。
时间之葬,看过,还行,2018-05-11 12:47:10,40,绝大部分人物能让人留下印象的，只有最后一刻的死亡
Sophie  Z,看过,2018-04-28 08:24:51,2018-04-28 08:24:51,46,眼泪都收回去了，最后一直在默念fuck fuck fuck。等复联4结束后再给分吧。这套路，估计是最后一部里是要牺牲活着的初代Avengers来换回变灰的所有人……
雨前羽街,看过,推荐,2018-05-12 00:28:48,37,电影拍成这样就不是电影了，是嘉年华，是联欢晚会，是花车游行，是马戏团，总之除了剧情外一切都那么美好！
陈朝,看过,推荐,2018-05-11 13:01:17,37,是一种，你看着人家十年来一步一步执行一个项目，几乎没出过大差错的服气。大工业。
文文周,看过,力荐,2018-05-01 15:04:33,39,宏大的布局，充实的叙事——几乎想象不到，有一天电影可以在140分钟里写出二十个以上主要人物参与的故事，为此，十年里的每一部单片，都做了必要的铺垫。——简直是工业史上一个成功到近乎伟大的构思，加上最顶尖的视听特效，这是一次商业电影的狂欢，和胜利。
阿措~❤,看过,推荐,2018-05-15 12:19:29,31,为啥要费那老鼻子劲脱手套？砍了他不行吗？急死人了。
過期貓糧,看过,还行,2018-05-12 19:10:57,23,也不能说不好看，又一部合格的爆米花片。但这种大拼盘真的很难在人性刻画出彩，使得正义的朋友们形象空洞单薄，仿佛一群乌合之众，倒是反派有自己坚持的信念，相对比较丰满。结局内心毫无波澜，准备的纸巾也没有用上。
瑾朵朵,看过,力荐,2018-05-13 14:05:52,20,为了衬托灭霸，各位英雄的智商和实力都出现断崖式下降↓
天马星,看过,推荐,2018-04-25 10:46:15,53,纵使不舍，总归要说再见，十年的陪伴匆匆而过，有人走有人留。当尘归尘土归土，一个宇宙的湮灭何尝不是另一个宇宙的重生，于是生与死便不再可怕，因为知道总有一个宇宙有人在守候，谨献给那些逝去的英雄，亦献给那些还在战斗的英雄，谢谢你们的陪伴！
凨子,看过,力荐,2018-05-15 23:25:36,0,"2015.5.12留爪，17年再会哈


看的都是情怀，一眨眼，三年过去了。（艺都大剧院）"
徐若风,看过,还行,2018-05-11 21:51:17,28,当转折失当、容量过度成为英雄人物庞杂集结后不可避免的缺点，复联3却连基本的责任都没做到。剧作的展开几乎是概念式的，看似紧凑，实际上一直在赶，场景之间的维系“迟滞感”很重。每段营造的“悲情”都怒吼着“我就是设计出来挖坑的，请看下部复活”。而所谓的史上最佳反派更是无趣，共情点强行扭。
用户,是否看过,五星评分,评论时间,有用数,评论内容
谋杀电视机,看过,还行,2018-05-12 20:42:19,20,感觉就像喝了十年的稀粥偶尔掺碗饭的饭店终于来了碗中规中矩的白米饭，然后被一堆人夸好像吃了八宝饭的感觉。讳莫如深的什么彩蛋和剧透掩盖的是羸弱无力的故事和人物，诺兰有怕过你知道小丑.贝恩.双面人是活着还是死了么？况且这集随随便便死的一半人下集肯定活
noodles省己,看过,很差,2018-04-27 06:49:33,59,灭霸真是的，多打一个响指，就好了
Helicopter,看过,较差,2018-05-03 15:32:40,40,一个紫心番薯🍠集齐六色珠的WTF故事...应该搞个金木水火土五色更接地气啊
科林,看过,力荐,2018-05-08 22:49:50,33,米老鼠收购20世纪狐狸后，致敬《异形》也就顺理成章了。南无阿弥陀佛，大慈大悲观世音灭霸，虽滥杀无辜半载，实则救生灵于涂炭，留绿水青山于后人，毕竟绿水青山就是金山银山，此乃圣贤也~~~
席德,看过,还行,2018-05-11 13:15:27,34,内心毫无波澜。反正会复活，不然漫威宇宙怎么继续圈钱。笑点是有点，但是真的不好看。局面越打越大，打动人心的程度却不如钢铁侠1，美国队长1那时单纯的惩恶扬善、自我救赎。对所谓的劲爆场面，我的感觉就是看了无数场群殴。消灭半个宇宙是打算干嘛？是单双号限行给你的灵感吗？干脆全消灭了干净啊。
灿灿,看过,推荐,2018-04-28 13:03:13,49,漫威的电影早已舍弃了剧情，看的就是特效和打斗，罗素兄弟将自己写实的动作戏和场面调度发挥到了极致，全程高能没尿点。相比复联1的全主角群戏，这部灭霸才是男主。其他演员基本都是常规操作，只有乔什·布洛林真的是用演技在那张紫薯脸上诠释灭霸！二刷完我现在只关心他下部的命运，求轻虐…
荀水,看过,推荐,2018-05-11 22:39:29,41,剧情出乎意料的不错，当然特效也是一如既往的给力，四星。
Tony,看过,较差,2018-04-29 12:46:22,42,拍的真垃圾。结尾什么鬼 没看懂什么意思. Worst marvel movie ever. Time-wasted piece of shit
河堤上的貓,看过,力荐,2018-05-10 23:51:11,42,特效打鬥都非常刺激好看啊！一如既往的有水準 很精彩 期待下一集
马达,看过,力荐,2018-05-12 00:53:53,24,非常感动，人类电影工业的最高水平，看完想去投身电影行业的冲动。
世界尽头,看过,推荐,2018-05-11 17:42:03,39,节奏快，英雄多，看得真是非常过瘾了。这集反派特别给力，看着我们的英雄们被各种按在地上摩擦真的好心疼，期待下一集。
mideastsptfire,看过,较差,2018-05-02 12:50:26,32,Emotional terrorism. 结尾大战男女分开，编剧体育老师. Thanos也信Malthus...有了对比Age of Ultron的剧本瞬间完整. okoye和stark两个眼神是全片唯二笑点. scarlet witch的毛子口音没了 可能和机器人谈恋爱就是为了练口语吧…
想变兔子的薄荷,看过,力荐,2018-05-11 07:34:00,64,便当看得我心巨累，便当不要钱吗导演，能不能不要到彩蛋还在发继续啊啊啊啊啊啊
呆萌小七,看过,力荐,2018-05-11 22:53:27,49,看完毫不犹豫的5星，太赞了，特效炫酷，致我心中永远的英雄！
Emily,看过,推荐,2018-05-11 20:03:41,41,特效很酷炫，剧情反套路，抛了很多梗。
浅时光,看过,力荐,2018-05-11 16:30:29,43,刚从电影院出来，不一样的英雄，有感情的灭霸，大结局一些人消失的时候，忍不住哭了😭。下一部，等你来，英雄不再见
Mr.Charles,看过,还行,2018-04-27 14:30:34,35,垃圾漫威 毁我青春
百草幽香,看过,很差,2018-05-03 12:07:44,34,艹他大爷的漫威！滚犊子吧。我没看，但我就是想打一星。现在想想，难怪CE连洛杉矶首映都没去呢，一共就他妈6分钟的戏，谁在乎这鸟片啊。
倾内,看过,推荐,2018-05-12 18:10:09,30,大boss是个无惧背负骂名的实干派
傻冒叔,看过,推荐,2018-05-12 22:44:16,36,虽然是爆米花圈钱大片，可结尾那么长的字幕，可见汇聚了多少细分行业多少人才，技术达到极致就是艺术啊。
用户,是否看过,五星评分,评论时间,有用数,评论内容
谢谢你们的鱼,看过,力荐,2018-05-11 02:24:00,14,爽炸，仅次于《美队3》的漫威电影，编剧逆天，导演开挂，从头到尾都是高潮，尖叫连连，《权力的游戏》，你怕了吗？
Iberian,看过,还行,2018-04-27 08:44:36,33,"字幕开始滚动后，第一排有人大喊""I want my money back""，最后一排有人迫不及待地开始飞叶子，满厅飘香。Me? I am just very confused."
皮革业,看过,还行,2018-05-16 15:00:35,18,这个故事告诉我们，掌握世界甚至宇宙的，永远都是那种迎曙光晨勃、看夕阳落泪、爱收干闺女、说到做到的老派男人。
游来游去,看过,推荐,2018-04-27 04:50:54,41,复仇者联盟4：轮回天生
名川,看过,推荐,2018-05-11 03:08:37,48,所有人都兴冲冲来看复联3，看完又都奔丧一样地走出去。
路西法尔,看过,还行,2018-05-11 13:44:41,13,很久没见过外星怪兽无脑冲锋了，很怀念。其实打灭霸鹰眼和死侍就够了，一个不死之身一个自动回避所有flag，看旺达的表现凤凰女单挑灭霸估计也没压力，吹飞是最无用的技能。漫威两个压箱底的绝招：串门和拆CP，内战就是拆CP，这次更是一口气拆了所有的CP，靠把这些CP正过来漫威就还能再续十年。
啵酱,看过,还行,2018-05-11 15:02:26,48,分好高，可是结局真的令人失望，仓促凌乱，是导演敷衍还是功力下降？
l ǐ,看过,力荐,2018-05-12 02:34:57,35,……我永远喜欢托尼·史塔克。
薛特勒拉底,看过,力荐,2018-04-26 10:03:54,45,一场从一千四百万零六百零五种可能性里寻求唯一解的游戏。紧凑到完全没有反应时间，可以挂着泪珠哈哈大笑，这时候无比感激那些嘴炮宝宝逗比宝宝抚平内心伤痕。情绪给人酝酿最久的是等彩蛋那一会儿了吧。给国内同胞和这十年一剑最大的尊重是毫不剧透。
王写写,看过,还行,2018-05-08 17:14:25,25,看完后波澜不惊。没多失望也没多满意。快感时不时有点，更多时候只有旁观之感。没指望它能把角色都塑造立体，其他部分也就不过不失。包括灭霸本身，是比过往的反派更生动些，但也止步于此。亲情戏成为唯一的新维度，动机和策略却仍是刻板的直线条。影片前段令人兴奋，越往后越疲软，最终浪费了情感高潮
囧囧有神晨小咩,看过,推荐,2018-05-12 16:13:23,24,看完懵了，现在都没缓过来。
基瑞尔,看过,推荐,2018-05-11 20:48:24,16,结束出影院戴上耳机听歌，手机突然放到安安的《Hero》...“I'll be your hero...”我竟然一个爆哭讲真的。面对喜欢的演员在漫威总是一件玄学的事，一方面希望赶紧抽身，不要浪费艺术生涯看多样化的角色；一方面真来了又会难过...【庆祝自己16天成功断网yoyoyo...！等Brie Larson小姐驾到！
方枪枪,看过,推荐,2018-05-11 03:08:58,21,就像是一锅大杂烩，但完成度颇高，插科打诨和大场面还是之前漫威的老路子，当然这一部确实很悲壮。娱乐性极高的爆米花电影，现场出来，发现看哭了不少姑娘，何必呢？奇异博士前后反差有伏笔，当然还有最后留下来的那些人，其实也有门路在里面。星爵顺风浪一波，神坑队友，绿巨人这部真的是怂。3.7
陆支羽,看过,推荐,2018-05-11 21:33:17,18,3.5。1.不灭不霸，是宿命，是羁绊，是即便众叛亲离也要拿到玩具的执念；这种超脱野心的天真，造就了灭霸这个角色的成功。2.漫威绞尽脑汁反套路的努力：本以为会死的没死，不相信会死的死了。3.不管会否逆转未来，至少我愿意勇敢面对，英雄也可能死得轻于鸿毛；造了十年不死传奇，终于残酷一把，挺好。
UrthónaD'Mors,看过,推荐,2018-05-11 15:02:11,23,其实灭霸是环保局的终极左翼分子吧？除了Loki死了真的觉得很可惜之外，我觉得剩下那些消逝的人，存活的人只，战斗力被大大削弱的人还是等第四部见分晓吧，毕竟“爱奇艺”博士说这是only way，但最可怜背锅侠只能送给搅屎棍星爵了～ps始终闹不明白这波死到底是随机还是有一定概率问题
LF,看过,推荐,2018-05-12 10:25:04,29,喜欢灭霸：大块头，结实的肌肉，不花哨的打扮，简朴而精确的出拳，从不躲闪坚持正面刚的战斗风格，坚毅的眼神，远大的梦想，毫不说废话的行动风格，脚踏实地完成目标的人生哲学。
七颗栗子,看过,推荐,2018-05-14 22:50:24,13,在知乎和贴吧看了会儿漫威讨论，发现能打灭霸的各路神仙竟有一大堆。什么地球神级，宇宙级，多元宇宙级！超大宇宙级！全能宇宙级！很多角色的能力比我小时候觉得最夸张的七龙珠还要夸张一亿倍。男孩子基本上不讨论爱恨情仇，只讨论谁比谁厉害。漫威大概称得上“男孩子终极豪华套餐”了。
等一个人,看过,力荐,2018-05-14 09:15:56,16,我喜欢阿灭
王食欲,看过,推荐,2018-05-11 22:25:05,29,浩克真是个实在汉子啊！
肖恩恩恩恩肖,看过,推荐,2018-05-12 17:12:28,15,前半场悲剧氛围渲染到位，我就把它当美少女战士的最后一集看了。正当猜测到底哪位才是根正苗红的公主水兵月的时候，下半场不知不觉就结束了……赌五毛钱下一集会逆转未来，大家就当这一部什么都没发生过好了。#响指
用户,是否看过,五星评分,评论时间,有用数,评论内容
路易绕,看过,力荐,2018-05-11 02:30:53,35,辛辛苦苦搞十年，一夜回到解放前。
美神经,看过,推荐,2018-05-11 21:14:42,10,有点小小的难过，从头压制到尾。结局是邪恶战胜了正义，但是看到灭霸在独自一人看落日的时候，突然觉得他得到了一切，却又失去了很多，幸亏他还能看见落日
帽匠,看过,推荐,2018-04-26 00:31:32,53,漫威不要脸，到底谁死了，谁没死，谁真死，谁假死，把话说清楚再走！
Ann,看过,推荐,2018-05-01 10:14:47,12,一个马尔萨斯学派的super villain。
Evarnold,看过,力荐,2018-05-11 02:57:39,25,我死硬地说，复联3仍然没有超过黑暗骑士。但。。。也没差多少了。。。刀片概念股将大涨，届时漫威熔个铁王座吧！
安蓝·怪伯爵,看过,力荐,2018-05-13 14:04:18,15,全程我只希望灭霸赶紧集齐宝石打个响指把电影院聊逼天儿的傻逼们都灰飞了！
野子,看过,力荐,2018-05-15 20:16:17,17,莫名觉得灭霸很可爱，看到最后想和他一起看日出。
血腥小伙伴,看过,还行,2018-05-12 10:26:33,54,星爵死了差评，星爵人设崩了差评，星爵胖了差评
城南草木生,看过,推荐,2018-05-11 22:10:22,22,反对计划生育。
花落月西,看过,力荐,2018-05-14 17:13:36,1,不充会员你们就想打过已开通蓝、紫、绿、黄、红、橙钻的人民币玩家？
京客隆小丸子,看过,推荐,2018-05-11 23:51:33,21,求出灭霸系列
猕猴桃将军,看过,还行,2018-05-01 20:41:16,32,全程观感：在吃重庆老火锅 突然往里下了一盘酸菜馅饺子 刚吃了几口又往里加了山东煎饼卷大葱 一碗米饭 一份拍黄瓜 一份干锅鸭头 然后喊服务员来加汤 直接一盒汇源果汁倒锅里了
hit the sack,看过,还行,2018-05-02 08:15:09,25,"本来“一个响指抹一半”只是无限宝石力量的冰山一角、不足为奇，却改成“集齐六颗才能打响指”、“集齐六颗只为响指”，真是笑话，也不知道mind stone和抹除生命有什么必然关系？
另，以为多死几个人就是史诗了？贱过浑过现在想正经了，怎么让人正经得起来？观众凭什么要在乎这些无心角色的死活？"
El Guaje,看过,推荐,2018-04-27 02:56:09,33,没办法，队长出现刹那还是泪了一下……兜转那么多年过去，才发觉自己最爱的始终是三巨头——如今看来，一切也确实要由他们仨来结束了。
饱肚师叔,看过,推荐,2018-05-03 10:09:48,24,最后大反派到的异度空间我一瞬间以为是天庭并且接见他的是太上老君。
Bulbasaur,看过,力荐,2018-05-02 09:26:10,45,近年来，漫威作品一直保持着很高的水准。这部电影已经把战场扩大到了整个星际，仍然是我们熟悉的英雄们，不过添加了很多新的人物。智慧，流畅的故事线，惊人的视觉特效，很多的超级英雄，绝对值得票价和时间。
隔壁山田,看过,还行,2018-05-12 20:10:59,17,就不需要看漫画了解灭霸的成长经历，他从哪来他经历了什么他怎可能真爱卡魔拉……只要在内地深度活过这几年，都会很自然地理解：我有深爱的人，同时也愿意与那些混蛋同归于尽。
antares,看过,力荐,2018-05-11 03:05:19,19,灭霸这个想法感觉也不是不可以理解……
诸葛不要·星,看过,推荐,2018-05-11 16:51:29,21,谁能横刀立马，唯有灭霸将军。灭霸戏很足，一改往年漫威反派弱鸡戏码。有亲情，有身世，二十几位超英沦为手下败将。谈笑间，半个宇宙，响指灰飞烟灭。多个CP被虐散，惨惨惨。罗素兄弟导演调度强，多线叙事却不乱，梗一个接一个，超英时间虽有限，每人戏份却出彩。凭谁问，灭霸老矣，尚能打否？
ｙｏｋｏ,看过,力荐,2018-04-27 04:09:02,39,年度绝望电影。
用户,是否看过,五星评分,评论时间,有用数,评论内容
妖孽坐地成仙,看过,力荐,2018-05-12 01:09:37,19,本质上灭霸也没错，走的还是可持续发展的道路。最后就是灭霸幸福的看日出日落？
蔕,看过,力荐,2018-05-11 23:17:11,20,没有给观众一刻缓冲时间，故事就在突然的绝望中戛然而止。这是我看过的所有影视作品中最强大的反派BOSS，而且有着信念和理智，冷静追求着他的追求。漫威世界里，不论超级英雄还是反派，都体现着人的一面，也许他们强大如神，但悲伤和苦痛，与我们一样。5星以上，我爱Avengers每个人，期待明年
释凡,看过,较差,2018-05-13 21:32:38,11,漫威清楚瞎编凑英雄乱打，骂一万只草泥马，却不能枪毙丫的，就拍欺世盗名伪神作！比《黑豹》差一万《蝙蝠侠大战超人》灭霸人口灭绝理论弱智脱离现实，雷神炸不死漂流被愣救？卡魔拉养女？给雷神眼珠就按上？纳米技术蜘蛛侠就背上长银钩？恢弘群P血战，山寨克赛时间复活秒杀幻灭，宇宙无敌为独看夕阳？
躲猫猫社社长,看过,2018-04-26 15:38:34,2018-04-26 15:38:34,16,Where? Who? Why?! Take that! 请听下回分解。 人太多太杂了？合同要到期了？那大家先散了吧。Let’s not pretend that there’s any real stakes in the MCU.
Q。,看过,推荐,2018-05-14 23:20:56,10,灭霸，一个自律且牛逼的男人★★★★
火火,看过,力荐,2018-05-03 09:01:58,19,"新出来很多角色，比如树孩子，小浣熊……. 节奏真的很快，英雄很多，你必须全神贯注。
坏人很有深度也很让人同情。钢铁侠作为蜘蛛侠的导师，很有爱。场面之恢弘，让人叹为观止。"
江山如是,看过,力荐,2018-05-12 23:34:33,25,多久没碰到一部让全场观众忍耐十分钟片尾等十几秒彩蛋的电影了！
Terence_W_Yang,看过,还行,2018-04-29 02:59:01,21,一部极高风险的作品但显然只拍了一半，如此多角色的多线程安排令剪辑几乎崩溃了，但漫威这么多年的铺垫可以说还是获得了回报，只是革命尚未完成，但无疑能确定的是，漫威的成功在于全面的角色定位，而这次灭霸是绝对的全场最佳，恐惧感和力量感都非常好。
妙可中国,看过,推荐,2018-04-30 16:48:54,10,有着许多小情节和多部前作铺垫下的惊喜，可大体仍是一次预期内的阶段性总结。肤浅的笑料频频打断情绪，基本成了当今迪宝漫威出品的一贯作风，诚然灭霸在这里是被当作核心主角来处理，也比往届一部死的反派成功的多，但英雄这边，至终都缺少一两位核心，美队纯粹打手示人。（幻视女巫还是赚足眼泪的。）
纤纤,看过,还行,2018-05-11 08:08:07,16,漫威迷不容错过，普通人看个热闹+特效，票价还算值。
Amiko。柒。,看过,力荐,2018-05-11 16:09:01,10,好生气哦好绝望啊但是我还是要给五星啊。控制不住我寄几。（美队不梳油头我get了他的帅点。
吮指原味田鸡,看过,较差,2018-04-27 04:00:11,40,经过十年不懈努力，漫威对商业片的理解终于达到了张艺谋的水平。
小馒头超可爱,看过,推荐,2018-05-12 00:57:20,46,小蜘蛛😭😭😭😭别走啊小蜘蛛
公蝇,看过,很差,2018-05-11 01:03:13,14,一个前同事很期待呢，还说要把剧透的任何人拉黑，公主脾气，恶心，直接一星。
品客,看过,推荐,2018-05-13 20:07:18,8,当你觉得漫威越来越无聊越来越同质化，把复仇者联盟当作春晚看热闹时，这部阶段性的句号竟然拍出了感叹号的水准，比想象中好太多了，而且对于灭霸的角色塑造很有深度，第一次看到绝对中立阵营的反派。
七月的色烈芬_,看过,推荐,2018-05-02 02:28:05,17,有剧透#计生办局长灭霸莫名其妙杀了半宇宙人之后无所事事地看日出真是醉了。除了黑豹这个渣渣几乎每个主要英雄都在和灭霸交手中露了两手帅爆了。然而没齐宝石的情况下都被碾压成这样并且死了一半【死剩的都是一代英雄】坑挖那么大下一场怎么填！最后 星爵不拖出去枪毙二十分钟真对不起各位了。
窗窗,看过,较差,2018-04-26 09:38:15,46,感觉就像看了一台小品精选………从摄影到剪辑，割裂感非常严重。真正喜欢的只有星爵吃醋+爱丁堡落难鸳鸯两段
尼日利亚黑珍珠,看过,推荐,2018-05-11 16:06:56,7,我的瓦坎达！！！！我的国王陛下！！！！啊啊啊啊啊啊，死紫薯精！！！话说灭霸从头到尾就无敌啊！！！从头到尾！！！还打个什么劲？！
何小沁,看过,推荐,2018-05-12 22:30:48,15,看的时候我脑子里只有四个字：巨星光环，每个角色/IP都是巨星，每个演员都是巨星，当然最强巨星是漫威，只有漫威这样的厂牌能用十年时间将宇宙概念推向全球观众。这一集再不用像前两集那样冗长地铺垫，分分钟都是爆点。这一次反派成为“主角”，英雄集体陷入空前绝望境地。这次奇异博士好圈粉，超爱
维雪魂,看过,还行,2018-05-11 03:33:03,9,罗素兄弟优缺点都比较明显了：他能设计出非常出色的动作场面，花样层出不穷，然而叙事真不是他的强项，想要顾及情感和氛围的处理、多花笔墨营造史诗悲壮感更是难上加难。简单的故事交他手上能把电影优点最大化（美队2）。而过于复杂的故事让他的缺点暴露的十分明显，优点随之被掩盖下去（复联3）。
用户,是否看过,五星评分,评论时间,有用数,评论内容
X教授的傻儿子,看过,推荐,2018-04-25 22:39:20,21711,《复联3》讲的是一个猪队友顺风浪了一波，然后被团灭了的故事。呵呵，卡魔拉真倒霉，爸爸是个疯子，男朋友是个傻子。
凌睿,看过,力荐,2018-04-26 00:03:05,21848,混沌初开，宇宙出现了六颗象征尊贵身份的宝石，一旦集齐就有毁天灭地的能力。它们分别是QQ空间黄钻（心灵宝石）、QQ秀红钻（现实宝石）、QQ炫舞紫钻（力量宝石）、QQ游戏蓝钻（空间宝石）、QQ音乐绿钻（时间宝石）、QQ橙钻（灵魂宝石）。为了得到六大宝石，灭霸终于对马化腾，哦不，复联下手了。
Caunion,看过,推荐,2018-04-28 12:36:51,12798,为什么不砍手？？？？？？？
Ada Wang,看过,推荐,2018-05-11 20:00:32,11599,大家好，我是灭霸，我的手套被扣在海关了，急需要200元交罚款，如果你5月11愿意发红包给我，我保证在打响指时你会活下来。我代表我们泰坦星下发红头文件:赶在2019面之前务必要让全宇宙的人口降低一半，宇宙的人均GDP才能翻一番，实现又好又快发展。这是千年大计、宇宙大事！
燃え寸前*,看过,还行,2018-04-29 22:28:01,10759,灭霸是一个有情怀的无产主义者，不惜牺牲此生最爱来整治这个混乱而拥挤不堪的宇宙，整治完了也不是要搞什么奴隶制自己当皇帝什么的，而是隐居深山老林看着夕阳感叹人生无常，说不定有空再种种菜养养鸡什么的。以随机的方式减去一半的人口也体现了其公平性和创新性，简直就是boss里面不可多得的楷模。
摩诃曼珠沙华,看过,还行,2018-04-27 16:50:29,10072,景甜出场的那一瞬间真的太震撼了，打趴下灭霸的时候全场都起立鼓掌了，美队把自己的盾牌给了景甜希望她能做下一任美国队长，景甜拒绝了并且亮出了胸口的红旗说i am Chinese! 电影院里掌声久久不息…
香芋of-Xiang,看过,推荐,2018-04-26 03:12:37,9520,一顿操作猛如虎 一个指响秒变土
百特曼,看过,力荐,2018-04-25 20:57:17,6399,Fxxking Amazing！你以为在看妇联3，发现原来在看银护3！你以为在看银护3，发现原来在看灭霸传！你以为只是发便当，原来他妈是团餐！漫威从电影第一刻就开始用心打破观众预设的期待，灭霸是目前漫威写的最好的反派，电影饱含深情，在妇联4上映前漫威粉要集体焦虑了
超级烧伤,看过,力荐,2018-04-25 20:41:01,5668,韩国今天看完，无剧透：1：彩蛋只有字幕全部结束后的1个。2：非常震撼，刺激，过瘾，喝可乐的世界有，需要压惊，但吃爆米花的时间没有。3：漫威粉必看，非常燃。4：纸巾有的人会需要。5：反派人设非常到位，竟然有深度。6：进场前3小时别饮水。7：特效吊炸天。8：罗素兄弟太强。9：瑕不掩瑜。
夏奈,看过,力荐,2018-04-24 17:43:45,4872,两个福尔摩斯跑来纽约玩Cosplay不务正业，案子不用查了吗？
Chloé ,看过,2018-04-26 04:37:55,2018-04-26 04:37:55,4694,下一部：《复仇者联盟：逆转未来》
lalisa,看过,推荐,2018-05-04 22:02:20,4795,《灭霸：后来我什么都有了，但是没有了我们》
同志亦凡人中文站,看过,推荐,2018-04-25 11:07:34,3507,日啊这哪是妇联3，分明就是灭霸传啊！二十多个超级英雄三条故事线，全部在给灭霸打牙祭。虫铁最可爱，锤哥真正帅，星爵搅屎棍，结局看不懂！加上彩蛋还是看不懂！（没错我是鸵鸟我不相信！我！不！相！信！）
李小丢,看过,力荐,2018-05-11 04:56:41,3489,洛基卡魔拉星爵奇异博士绯红女巫其实都有机会阻止灭霸成为QQ钻皇，可生死抉择之时他们还是“自私”地将所爱之人的安危置于恪守原则拯救世界的重要性之上，他们的爱成为被利用的弱点。而灭霸截然相反，他并非绝情之人，但他个人的爱恨只能为理想让步，所以我居然觉得灭霸的人设是最复杂最带感的。
少陵野老大哭着,看过,推荐,2018-04-27 17:01:34,3232,我中途幻想的这片的结尾，是灭霸成功打响指，宇宙的一半开始毁灭，第一个消失的，就是灭霸自己
Blacksheepist,看过,力荐,2018-04-25 20:50:35,2836,居然没有让Samuel Jackson说完Motherfucker就让他领饭盒了！！
私~川流,看过,力荐,2018-04-25 15:42:32,1695,大荧幕上曾经有这样一个传统，叫做“主角光环”。今日今时，感谢这一传统的消忘，以及反派的去脸谱化，将超英类型片带入新的维度与高度。本片可贵，乃Marvel破局之作。//两米高的幻视像小可怜一样，看得我好心动。//ps：片尾有一个预告彩蛋。
曾良君,看过,推荐,2018-05-11 18:48:51,1515,请大家想一想，古今中外，不论是《但丁密码》还是《血色星期一》获得了知识与力量的大反派们为什么最终目的都是随机消灭掉一半的人类，这给了我们什么启示？不婚不育就可以做自己人生的反派！
何倩彤,看过,推荐,2018-04-25 19:41:11,1411,每一條故事線都出現「一命換一石」之兩難，人人為了所愛要半個宇宙陪葬。生命有貴賤，天佑愛人，消費者的愛尤甚。／反派是最終極的天秤座。／時間之石是BUG之泉源，世上有千萬個以它來扭轉局勢的方法。／沒異能沒裝甲的黑寡婦證明，人神魔的血統都隨便吧，宇宙最強的血統是俄羅斯人。
L'automne,看过,还行,2018-04-25 23:26:17,1420,结局简直丧出天际！灭霸竟然有内心戏！全程下来美队和钢铁侠也没见上一面，我还以为在世界末日前必然要重修旧好了！
用户,是否看过,五星评分,评论时间,有用数,评论内容
哎,看过,2018-04-27 02:49:14,2018-04-27 02:49:14,1345,所以说办公室恋情会坏事…本来都翻盘了的…
殇潮|Enigma,看过,还行,2018-04-25 18:50:16,1243,最大的笑话大概是灭霸的眼泪？
老鼠爱猫怎么办,看过,很差,2018-04-20 17:34:36,953,这种无限膨胀且不着边际的意淫题材，终将只能满足观众们少儿般天真烂漫的幻想，同样也止步于此。
